"libro","titulo","capitulo","seccion","articulo","url"
"LIBRO I","Título II",NA,NA,"27/","https://www.conceptosjuridicos.com/codigo-penal-articulo-27/"
"LIBRO I","Título II",NA,NA,"28/","https://www.conceptosjuridicos.com/codigo-penal-articulo-28/"
"LIBRO I","Título II",NA,NA,"29/","https://www.conceptosjuridicos.com/codigo-penal-articulo-29/"
"LIBRO I","Título II",NA,NA,"30/","https://www.conceptosjuridicos.com/codigo-penal-articulo-30/"
"LIBRO I","Título II",NA,NA,"31/","https://www.conceptosjuridicos.com/codigo-penal-articulo-31/"
"LIBRO I","Título II",NA,NA,"31-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-31-bis/"
"LIBRO I","Título II",NA,NA,"31-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-31-ter/"
"LIBRO I","Título II",NA,NA,"31-quater/","https://www.conceptosjuridicos.com/codigo-penal-articulo-31-quater/"
"LIBRO I","Título II",NA,NA,"31-quinquies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-31-quinquies/"
"LIBRO I","Título III","Capítulo I","Sección I","32/","https://www.conceptosjuridicos.com/codigo-penal-articulo-32/"
"LIBRO I","Título III","Capítulo I","Sección I","33/","https://www.conceptosjuridicos.com/codigo-penal-articulo-33/"
"LIBRO I","Título III","Capítulo I","Sección I","34/","https://www.conceptosjuridicos.com/codigo-penal-articulo-34/"
"LIBRO I","Título III","Capítulo I","Sección II","35/","https://www.conceptosjuridicos.com/codigo-penal-articulo-35/"
"LIBRO I","Título ","Capítulo VII","Sección II","36/","https://www.conceptosjuridicos.com/codigo-penal-articulo-36/"
"LIBRO I","Título III","Capítulo I","Sección II","37/","https://www.conceptosjuridicos.com/codigo-penal-articulo-37/"
"LIBRO I","Título III","Capítulo I","Sección II","38/","https://www.conceptosjuridicos.com/codigo-penal-articulo-38/"
"LIBRO I","Título III","Capítulo I","Sección III","39/","https://www.conceptosjuridicos.com/codigo-penal-articulo-39/"
"LIBRO I","Título III","Capítulo I","Sección III","40/","https://www.conceptosjuridicos.com/codigo-penal-articulo-40/"
"LIBRO I","Título III","Capítulo I","Sección III","41/","https://www.conceptosjuridicos.com/codigo-penal-articulo-41/"
"LIBRO I","Título III","Capítulo I","Sección III","42/","https://www.conceptosjuridicos.com/codigo-penal-articulo-42/"
"LIBRO I","Título III","Capítulo I","Sección III","43/","https://www.conceptosjuridicos.com/codigo-penal-articulo-43/"
"LIBRO I","Título III","Capítulo I","Sección III","44/","https://www.conceptosjuridicos.com/codigo-penal-articulo-44/"
"LIBRO I","Título III","Capítulo I","Sección III","45/","https://www.conceptosjuridicos.com/codigo-penal-articulo-45/"
"LIBRO I","Título III","Capítulo I","Sección III","46/","https://www.conceptosjuridicos.com/codigo-penal-articulo-46/"
"LIBRO I","Título III","Capítulo I","Sección III","47/","https://www.conceptosjuridicos.com/codigo-penal-articulo-47/"
"LIBRO I","Título III","Capítulo I","Sección III","48/","https://www.conceptosjuridicos.com/codigo-penal-articulo-48/"
"LIBRO I","Título III","Capítulo I","Sección III","49/","https://www.conceptosjuridicos.com/codigo-penal-articulo-49/"
"LIBRO I","Título III","Capítulo I","Sección IV","50/","https://www.conceptosjuridicos.com/codigo-penal-articulo-50/"
"LIBRO I","Título III","Capítulo I","Sección IV","51/","https://www.conceptosjuridicos.com/codigo-penal-articulo-51/"
"LIBRO I","Título III","Capítulo I","Sección IV","52/","https://www.conceptosjuridicos.com/codigo-penal-articulo-52/"
"LIBRO I","Título III","Capítulo I","Sección IV","53/","https://www.conceptosjuridicos.com/codigo-penal-articulo-53/"
"LIBRO I","Título III","Capítulo I","Sección V","54/","https://www.conceptosjuridicos.com/codigo-penal-articulo-54/"
"LIBRO I","Título III","Capítulo I","Sección V","55/","https://www.conceptosjuridicos.com/codigo-penal-articulo-55/"
"LIBRO I","Título III","Capítulo I","Sección V","55/","https://www.conceptosjuridicos.com/codigo-penal-articulo-55/"
"LIBRO I","Título III","Capítulo I","Sección V","56/","https://www.conceptosjuridicos.com/codigo-penal-articulo-56/"
"LIBRO I","Título III","Capítulo I","Sección V","57/","https://www.conceptosjuridicos.com/codigo-penal-articulo-57/"
"LIBRO I","Título III","Capítulo I","Sección VI","58/","https://www.conceptosjuridicos.com/codigo-penal-articulo-58/"
"LIBRO I","Título III","Capítulo I","Sección VI","59/","https://www.conceptosjuridicos.com/codigo-penal-articulo-59/"
"LIBRO I","Título III","Capítulo I","Sección VI","60/","https://www.conceptosjuridicos.com/codigo-penal-articulo-60/"
"LIBRO I","Título III","Capitulo II","Sección I","61/","https://www.conceptosjuridicos.com/codigo-penal-articulo-61/"
"LIBRO I","Título III","Capitulo II","Sección I","62/","https://www.conceptosjuridicos.com/codigo-penal-articulo-62/"
"LIBRO I","Título III","Capitulo II","Sección I","63/","https://www.conceptosjuridicos.com/codigo-penal-articulo-63/"
"LIBRO I","Título III","Capitulo II","Sección I","64/","https://www.conceptosjuridicos.com/codigo-penal-articulo-64/"
"LIBRO I","Título III","Capitulo II","Sección I","65/","https://www.conceptosjuridicos.com/codigo-penal-articulo-65/"
"LIBRO I","Título III","Capitulo II","Sección I","66/","https://www.conceptosjuridicos.com/codigo-penal-articulo-66/"
"LIBRO I","Título III","Capitulo II","Sección I","66-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-66-bis/"
"LIBRO I","Título III","Capitulo II","Sección I","67/","https://www.conceptosjuridicos.com/codigo-penal-articulo-67/"
"LIBRO I","Título III","Capitulo II","Sección I","68/","https://www.conceptosjuridicos.com/codigo-penal-articulo-68/"
"LIBRO I","Título III","Capitulo II","Sección I","69/","https://www.conceptosjuridicos.com/codigo-penal-articulo-69/"
"LIBRO I","Título III","Capitulo II","Sección I","70/","https://www.conceptosjuridicos.com/codigo-penal-articulo-70/"
"LIBRO I","Título III","Capitulo II","Sección I","71/","https://www.conceptosjuridicos.com/codigo-penal-articulo-71/"
"LIBRO I","Título III","Capitulo II","Sección I","72/","https://www.conceptosjuridicos.com/codigo-penal-articulo-72/"
"LIBRO I","Título III","Capitulo II","Sección II","73/","https://www.conceptosjuridicos.com/codigo-penal-articulo-73/"
"LIBRO I","Título III","Capitulo II","Sección II","74/","https://www.conceptosjuridicos.com/codigo-penal-articulo-74/"
"LIBRO I","Título III","Capitulo II","Sección II","75/","https://www.conceptosjuridicos.com/codigo-penal-articulo-75/"
"LIBRO I","Título ","Capítulo VII","Sección II","76/","https://www.conceptosjuridicos.com/codigo-penal-articulo-76/"
"LIBRO I","Título III","Capitulo II","Sección II","77/","https://www.conceptosjuridicos.com/codigo-penal-articulo-77/"
"LIBRO I","Título ","Capítulo VII","Sección II","78/","https://www.conceptosjuridicos.com/codigo-penal-articulo-78/"
"LIBRO I","Título ","Capítulo VII","Sección II","78-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-78-bis/"
"LIBRO I","Título III","Capitulo II","Sección II","79/","https://www.conceptosjuridicos.com/codigo-penal-articulo-79/"
"LIBRO I","Título III","Capítulo III","Sección I","80/","https://www.conceptosjuridicos.com/codigo-penal-articulo-80/"
"LIBRO I","Título III","Capítulo III","Sección I","81/","https://www.conceptosjuridicos.com/codigo-penal-articulo-81/"
"LIBRO I","Título III","Capítulo III","Sección I","82/","https://www.conceptosjuridicos.com/codigo-penal-articulo-82/"
"LIBRO I","Título III","Capítulo III","Sección I","83/","https://www.conceptosjuridicos.com/codigo-penal-articulo-83/"
"LIBRO I","Título III","Capítulo III","Sección I","84/","https://www.conceptosjuridicos.com/codigo-penal-articulo-84/"
"LIBRO I","Título III","Capítulo III","Sección I","85/","https://www.conceptosjuridicos.com/codigo-penal-articulo-85/"
"LIBRO I","Título III","Capítulo III","Sección I","86/","https://www.conceptosjuridicos.com/codigo-penal-articulo-86/"
"LIBRO I","Título III","Capítulo III","Sección I","87/","https://www.conceptosjuridicos.com/codigo-penal-articulo-87/"
"LIBRO I","Título III","Capitulo III","Sección I","89/","https://www.conceptosjuridicos.com/codigo-penal-articulo-89/"
"LIBRO I","Título ","Capítulo VII","Sección III","90/","https://www.conceptosjuridicos.com/codigo-penal-articulo-90/"
"LIBRO I","Título III","Capítulo III","Sección III","91/","https://www.conceptosjuridicos.com/codigo-penal-articulo-91/"
"LIBRO I","Título ","Capítulo VII","Sección III","92/","https://www.conceptosjuridicos.com/codigo-penal-articulo-92/"
"LIBRO I","Título III","Capítulo III","Sección IV","94/","https://www.conceptosjuridicos.com/codigo-penal-articulo-94/"
"LIBRO I","Título III","Capítulo III","Sección IV","94-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-94-bis/"
"LIBRO I","Título IV","Capítulo I",NA,"95/","https://www.conceptosjuridicos.com/codigo-penal-articulo-95/"
"LIBRO I","Título IV","Capítulo I",NA,"96/","https://www.conceptosjuridicos.com/codigo-penal-articulo-96/"
"LIBRO I","Título IV","Capítulo I",NA,"97/","https://www.conceptosjuridicos.com/codigo-penal-articulo-97/"
"LIBRO I","Título IV","Capítulo I",NA,"98/","https://www.conceptosjuridicos.com/codigo-penal-articulo-98/"
"LIBRO I","Título IV","Capítulo I",NA,"99/","https://www.conceptosjuridicos.com/codigo-penal-articulo-99/"
"LIBRO I","Título IV","Capítulo I",NA,"100/","https://www.conceptosjuridicos.com/codigo-penal-articulo-100/"
"LIBRO I","Título IV","Capítulo II","Sección I","101/","https://www.conceptosjuridicos.com/codigo-penal-articulo-101/"
"LIBRO I","Título IV","Capítulo II","Sección I","102/","https://www.conceptosjuridicos.com/codigo-penal-articulo-102/"
"LIBRO I","Título IV","Capítulo II","Sección I","103/","https://www.conceptosjuridicos.com/codigo-penal-articulo-103/"
"LIBRO I","Título IV","Capítulo II","Sección I","104/","https://www.conceptosjuridicos.com/codigo-penal-articulo-104/"
"LIBRO I","Título IV","Capítulo II","Sección II","105/","https://www.conceptosjuridicos.com/codigo-penal-articulo-105/"
"LIBRO I","Título IV","Capítulo II","Sección II","106/","https://www.conceptosjuridicos.com/codigo-penal-articulo-106/"
"LIBRO I","Título IV","Capítulo II","Sección II","107/","https://www.conceptosjuridicos.com/codigo-penal-articulo-107/"
"LIBRO I","Título IV","Capítulo II","Sección II","108/","https://www.conceptosjuridicos.com/codigo-penal-articulo-108/"
"LIBRO I","Título V",NA,NA,"109/","https://www.conceptosjuridicos.com/codigo-penal-articulo-109/"
"LIBRO I","Título V",NA,NA,"110/","https://www.conceptosjuridicos.com/codigo-penal-articulo-110/"
"LIBRO I","Título V","Capítulo I",NA,"111/","https://www.conceptosjuridicos.com/codigo-penal-articulo-111/"
"LIBRO I","Título V",NA,NA,"112/","https://www.conceptosjuridicos.com/codigo-penal-articulo-112/"
"LIBRO I","Título V",NA,NA,"113/","https://www.conceptosjuridicos.com/codigo-penal-articulo-113/"
"LIBRO I","Título V","Capítulo I",NA,"114/","https://www.conceptosjuridicos.com/codigo-penal-articulo-114/"
"LIBRO I","Título V","Capítulo I",NA,"115/","https://www.conceptosjuridicos.com/codigo-penal-articulo-115/"
"LIBRO I","Título V","Capítulo II",NA,"116/","https://www.conceptosjuridicos.com/codigo-penal-articulo-116/"
"LIBRO I","Título V","Capítulo II",NA,"117/","https://www.conceptosjuridicos.com/codigo-penal-articulo-117/"
"LIBRO I","Título V","Capítulo II",NA,"118/","https://www.conceptosjuridicos.com/codigo-penal-articulo-118/"
"LIBRO I","Título V","Capítulo II",NA,"119/","https://www.conceptosjuridicos.com/codigo-penal-articulo-119/"
"LIBRO I","Título V","Capítulo II",NA,"120/","https://www.conceptosjuridicos.com/codigo-penal-articulo-120/"
"LIBRO I","Título V","Capítulo II",NA,"121/","https://www.conceptosjuridicos.com/codigo-penal-articulo-121/"
"LIBRO I","Título V","Capítulo II",NA,"122/","https://www.conceptosjuridicos.com/codigo-penal-articulo-122/"
"LIBRO I","Título V","Capítulo III",NA,"123/","https://www.conceptosjuridicos.com/codigo-penal-articulo-123/"
"LIBRO I","Título V","Capítulo III",NA,"124/","https://www.conceptosjuridicos.com/codigo-penal-articulo-124/"
"LIBRO I","Título V","Capítulo IV",NA,"125/","https://www.conceptosjuridicos.com/codigo-penal-articulo-125/"
"LIBRO I","Título V","Capítulo IV",NA,"126/","https://www.conceptosjuridicos.com/codigo-penal-articulo-126/"
"LIBRO I","Título VI",NA,NA,"127/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127/"
"LIBRO I","Título VI",NA,NA,"127-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-bis/"
"LIBRO I","Título VI",NA,NA,"127-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-ter/"
"LIBRO I","Título VI",NA,NA,"127-quater/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-quater/"
"LIBRO I","Título VI",NA,NA,"127-quinquies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-quinquies/"
"LIBRO I","Título VI",NA,NA,"127-sexies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-sexies/"
"LIBRO I","Título VI",NA,NA,"127-septies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-septies/"
"LIBRO I","Título VI",NA,NA,"127-octies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-127-octies/"
"LIBRO I","Título VI",NA,NA,"128/","https://www.conceptosjuridicos.com/codigo-penal-articulo-128/"
"LIBRO I","Título VI",NA,NA,"129/","https://www.conceptosjuridicos.com/codigo-penal-articulo-129/"
"LIBRO I","Título VI",NA,NA,"129-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-129-bis/"
"LIBRO I","Título VII","Capitulo I",NA,"130/","https://www.conceptosjuridicos.com/codigo-penal-articulo-130/"
"LIBRO I","Título VII","Capitulo I",NA,"131/","https://www.conceptosjuridicos.com/codigo-penal-articulo-131/"
"LIBRO I","Título VII","Capitulo I",NA,"132/","https://www.conceptosjuridicos.com/codigo-penal-articulo-132/"
"LIBRO I","Título VII","Capitulo I",NA,"133/","https://www.conceptosjuridicos.com/codigo-penal-articulo-133/"
"LIBRO I","Título VII","Capitulo I",NA,"134/","https://www.conceptosjuridicos.com/codigo-penal-articulo-134/"
"LIBRO I","Título VII","Capitulo I",NA,"135/","https://www.conceptosjuridicos.com/codigo-penal-articulo-135/"
"LIBRO I","Título VII","Capitulo II",NA,"136/","https://www.conceptosjuridicos.com/codigo-penal-articulo-136/"
"LIBRO I","Título VII","Capitulo II",NA,"137/","https://www.conceptosjuridicos.com/codigo-penal-articulo-137/"
"LIBRO II","Título I",NA,NA,"138/","https://www.conceptosjuridicos.com/codigo-penal-articulo-138/"
"LIBRO II","Título I",NA,NA,"139/","https://www.conceptosjuridicos.com/codigo-penal-articulo-139/"
"LIBRO II","Título I",NA,NA,"140/","https://www.conceptosjuridicos.com/codigo-penal-articulo-140/"
"LIBRO II","Título ",NA,NA,"140-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-140-bis/"
"LIBRO II","Título I",NA,NA,"141/","https://www.conceptosjuridicos.com/codigo-penal-articulo-141/"
"LIBRO II","Título I",NA,NA,"142/","https://www.conceptosjuridicos.com/codigo-penal-articulo-142/"
"LIBRO II","Título I",NA,NA,"142-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-142-bis/"
"LIBRO II","Título I",NA,NA,"143/","https://www.conceptosjuridicos.com/codigo-penal-articulo-143/"
"LIBRO II","Título I",NA,NA,"143-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-143-bis/"
"LIBRO II","Título II",NA,NA,"144/","https://www.conceptosjuridicos.com/codigo-penal-articulo-144/"
"LIBRO II","Título II",NA,NA,"145/","https://www.conceptosjuridicos.com/codigo-penal-articulo-145/"
"LIBRO II","Título II",NA,NA,"145-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-145-bis/"
"LIBRO II","Título II",NA,NA,"146/","https://www.conceptosjuridicos.com/codigo-penal-articulo-146/"
"LIBRO II","Título III",NA,NA,"147/","https://www.conceptosjuridicos.com/codigo-penal-articulo-147/"
"LIBRO II","Título III",NA,NA,"148/","https://www.conceptosjuridicos.com/codigo-penal-articulo-148/"
"LIBRO II","Título III",NA,NA,"149/","https://www.conceptosjuridicos.com/codigo-penal-articulo-149/"
"LIBRO II","Título III",NA,NA,"150/","https://www.conceptosjuridicos.com/codigo-penal-articulo-150/"
"LIBRO II","Título III",NA,NA,"151/","https://www.conceptosjuridicos.com/codigo-penal-articulo-151/"
"LIBRO II","Título III",NA,NA,"152/","https://www.conceptosjuridicos.com/codigo-penal-articulo-152/"
"LIBRO II","Título III",NA,NA,"152-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-152-bis/"
"LIBRO II","Título III",NA,NA,"153/","https://www.conceptosjuridicos.com/codigo-penal-articulo-153/"
"LIBRO II","Título III",NA,NA,"154/","https://www.conceptosjuridicos.com/codigo-penal-articulo-154/"
"LIBRO II","Título III",NA,NA,"155/","https://www.conceptosjuridicos.com/codigo-penal-articulo-155/"
"LIBRO II","Título III",NA,NA,"156/","https://www.conceptosjuridicos.com/codigo-penal-articulo-156/"
"LIBRO II","Título III",NA,NA,"156-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-156-bis/"
"LIBRO II","Título III",NA,NA,"156-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-156-ter/"
"LIBRO II","Título III",NA,NA,"156-quater/","https://www.conceptosjuridicos.com/codigo-penal-articulo-156-quater/"
"LIBRO II","Título III",NA,NA,"156-quinquies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-156-quinquies/"
"LIBRO II","Título IV",NA,NA,"157/","https://www.conceptosjuridicos.com/codigo-penal-articulo-157/"
"LIBRO II","Título IV",NA,NA,"158/","https://www.conceptosjuridicos.com/codigo-penal-articulo-158/"
"LIBRO II","Título V",NA,NA,"159/","https://www.conceptosjuridicos.com/codigo-penal-articulo-159/"
"LIBRO II","Título V",NA,NA,"160/","https://www.conceptosjuridicos.com/codigo-penal-articulo-160/"
"LIBRO II","Título V",NA,NA,"161/","https://www.conceptosjuridicos.com/codigo-penal-articulo-161/"
"LIBRO II","Título V",NA,NA,"162/","https://www.conceptosjuridicos.com/codigo-penal-articulo-162/"
"LIBRO II","Título VI",NA,NA,"163/","https://www.conceptosjuridicos.com/codigo-penal-articulo-163/"
"LIBRO II","Título VI",NA,NA,"164/","https://www.conceptosjuridicos.com/codigo-penal-articulo-164/"
"LIBRO II","Título VI",NA,NA,"165/","https://www.conceptosjuridicos.com/codigo-penal-articulo-165/"
"LIBRO II","Título VI",NA,NA,"166/","https://www.conceptosjuridicos.com/codigo-penal-articulo-166/"
"LIBRO II","Título VI","Capítulo ",NA,"167/","https://www.conceptosjuridicos.com/codigo-penal-articulo-167/"
"LIBRO II","Título VI","Capítulo ",NA,"168/","https://www.conceptosjuridicos.com/codigo-penal-articulo-168/"
"LIBRO II","Título VI","Capítulo II",NA,"169/","https://www.conceptosjuridicos.com/codigo-penal-articulo-169/"
"LIBRO II","Título VI","Capítulo II",NA,"170/","https://www.conceptosjuridicos.com/codigo-penal-articulo-170/"
"LIBRO II","Título VI","Capítulo II",NA,"171/","https://www.conceptosjuridicos.com/codigo-penal-articulo-171/"
"LIBRO II","Título VI","Capítulo III",NA,"172/","https://www.conceptosjuridicos.com/codigo-penal-articulo-172/"
"LIBRO II","Título VI","Capítulo III",NA,"172-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-172-bis/"
"LIBRO II","Título VI","Capítulo III",NA,"172-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-172-ter/"
"LIBRO II","Título VI","Capítulo III",NA,"172-quater/","https://www.conceptosjuridicos.com/codigo-penal-articulo-172-quater/"
"LIBRO II","Título VII",NA,NA,"173/","https://www.conceptosjuridicos.com/codigo-penal-articulo-173/"
"LIBRO II","Título VII",NA,NA,"174/","https://www.conceptosjuridicos.com/codigo-penal-articulo-174/"
"LIBRO II","Título VII",NA,NA,"175/","https://www.conceptosjuridicos.com/codigo-penal-articulo-175/"
"LIBRO II","Título VII",NA,NA,"176/","https://www.conceptosjuridicos.com/codigo-penal-articulo-176/"
"LIBRO II","Título VII",NA,NA,"177/","https://www.conceptosjuridicos.com/codigo-penal-articulo-177/"
"LIBRO II","Título VII",NA,NA,"177-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-177-bis/"
"LIBRO II","Título VIII","Capítulo I",NA,"178/","https://www.conceptosjuridicos.com/codigo-penal-articulo-178/"
"LIBRO II","Título VIII","Capítulo I",NA,"179/","https://www.conceptosjuridicos.com/codigo-penal-articulo-179/"
"LIBRO II","Título VIII","Capítulo I",NA,"180/","https://www.conceptosjuridicos.com/codigo-penal-articulo-180/"
"LIBRO II","Título VIII","Capítulo II",NA,"181/","https://www.conceptosjuridicos.com/codigo-penal-articulo-181/"
"LIBRO II","Título VIII","Capítulo II",NA,"182/","https://www.conceptosjuridicos.com/codigo-penal-articulo-182/"
"LIBRO II","Título VIII","Capítulo II",NA,"183/","https://www.conceptosjuridicos.com/codigo-penal-articulo-183/"
"LIBRO II","Título VIII","Capítulo II",NA,"183-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-183-bis/"
"LIBRO II","Título VIII","Capítulo III",NA,"184/","https://www.conceptosjuridicos.com/codigo-penal-articulo-184/"
"LIBRO II","Título VIII","Capítulo IV",NA,"185/","https://www.conceptosjuridicos.com/codigo-penal-articulo-185/"
"LIBRO II","Título VIII","Capítulo IV",NA,"186/","https://www.conceptosjuridicos.com/codigo-penal-articulo-186/"
"LIBRO II","Título VIII","Capítulo V",NA,"187/","https://www.conceptosjuridicos.com/codigo-penal-articulo-187/"
"LIBRO II","Título VIII","Capítulo V",NA,"188/","https://www.conceptosjuridicos.com/codigo-penal-articulo-188/"
"LIBRO II","Título ","Capítulo V",NA,"189/","https://www.conceptosjuridicos.com/codigo-penal-articulo-189/"
"LIBRO II","Título VIII","Capítulo V",NA,"189-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-189-bis/"
"LIBRO II","Título VIII","Capítulo V",NA,"189-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-189-ter/"
"LIBRO II","Título VIII","Capítulo VI",NA,"190/","https://www.conceptosjuridicos.com/codigo-penal-articulo-190/"
"LIBRO II","Título VIII","Capítulo VI",NA,"191/","https://www.conceptosjuridicos.com/codigo-penal-articulo-191/"
"LIBRO II","Título ","Capítulo II",NA,"192/","https://www.conceptosjuridicos.com/codigo-penal-articulo-192/"
"LIBRO II","Título VIII","Capítulo VI",NA,"193/","https://www.conceptosjuridicos.com/codigo-penal-articulo-193/"
"LIBRO II","Título VIII","Capítulo VI",NA,"194/","https://www.conceptosjuridicos.com/codigo-penal-articulo-194/"
"LIBRO II","Título VIII","Capítulo VI",NA,"194-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-194-bis/"
"LIBRO II","Título I",NA,NA,"195/","https://www.conceptosjuridicos.com/codigo-penal-articulo-195/"
"LIBRO II","Título I",NA,NA,"196/","https://www.conceptosjuridicos.com/codigo-penal-articulo-196/"
"LIBRO II","Título ","Capítulo I",NA,"197/","https://www.conceptosjuridicos.com/codigo-penal-articulo-197/"
"LIBRO II","Título ","Capítulo I",NA,"197-bis/","https://www.conceptosjuridicos.com/codigo-penal-articulo-197-bis/"
"LIBRO II","Título ","Capítulo I",NA,"197-ter/","https://www.conceptosjuridicos.com/codigo-penal-articulo-197-ter/"
"LIBRO II","Título ","Capítulo ",NA,"197-quater/","https://www.conceptosjuridicos.com/codigo-penal-articulo-197-quater/"
"LIBRO II","Título ","Capítulo I",NA,"197-quinquies/","https://www.conceptosjuridicos.com/codigo-penal-articulo-197-quinquies/"
"LIBRO II","Título ","Capítulo I",NA,"198/","https://www.conceptosjuridicos.com/codigo-penal-articulo-198/"
"LIBRO II","Título ","Capítulo I",NA,"199/","https://www.conceptosjuridicos.com/codigo-penal-articulo-199/"
"LIBRO II","Título ","Capítulo I",NA,"200/","https://www.conceptosjuridicos.com/codigo-penal-articulo-200/"
"LIBRO II","Título ","Capítulo ",NA,"201/","https://www.conceptosjuridicos.com/codigo-penal-articulo-201/"
"LIBRO II","Título ","Capítulo II",NA,"202/","https://www.conceptosjuridicos.com/codigo-penal-articulo-202/"
